fold,studyOrig,study,platform,id,condition,rating,rating2,rt,perc_acc,perc_accDR,politically_concordant,real,item_num,crt_acc,demrep,conservative,demrepParty,trump2016,age,gender,white,college,accimp
0,Arechar Pilot,P,Lucid,100081,0,0,0,12.821,0.290579706430435,0.25882354,,0,101,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0,0,14.979,0.301075279712677,0.29090908,,0,102,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0,0,22.187,0.289130449295044,0.26710528,,0,103,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0,0,12.268,0.211552336812019,0.1881579,,0,104,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0,0,26.557,0.210791349411011,0.18543047,,0,106,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0,0,22.161,0.268592059612274,0.22913907,,0,108,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0,0,21.239,0.32974910736084,0.32077923,,0,109,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0,0,14.231,0.278700351715088,0.27058825,,0,110,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0,0,15.361,0.228673845529556,0.21960784,,1,112,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0,0,17.616,0.267148017883301,0.25430465,,1,114,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0,0,15.55,0.605818152427673,0.56423843,,1,116,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0,0,19.444,0.419565200805664,0.39215687,,1,118,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0.80000001,1,14.5,0.576811611652374,0.57647061,,1,119,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0.80000001,1,17.382,0.60945451259613,0.62384105,,1,120,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0.80000001,1,11.858,0.644927501678467,0.66092718,,1,124,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0.80000001,1,13.976,0.669090926647186,0.69934642,,1,125,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,0.80000001,1,14.931,0.578102231025696,0.58940399,,1,126,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100081,0,1,1,12.612,0.660869598388672,0.63398695,,1,127,0.75,0,0,,,74,1,0,1,
0,Arechar Pilot,P,Lucid,100087,0,1,1,1.001,0.290579706430435,0.33008131,,0,101,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,0.60000002,1,1.301,0.301075279712677,0.3136,,0,102,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,0.80000001,1,1.101,0.289130449295044,0.31612903,,0,103,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,0.80000001,1,0.902,0.210791349411011,0.24094489,,0,106,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,1,1,1.476,0.268592059612274,0.31587303,,0,108,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,1,1,0.901,0.32974910736084,0.34080002,,0,109,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,0.80000001,1,1.059,0.228673845529556,0.23968254,,1,112,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,0.80000001,1,1,0.605818152427673,0.65645164,,1,116,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,0.80000001,1,1.147,0.419565200805664,0.45365855,,1,118,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,1,1,1.101,0.60945451259613,0.59193552,,1,120,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,1,1,0.901,0.569175601005554,0.54126984,,1,121,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,0.60000002,1,1.285,0.401449292898178,0.41120002,,1,123,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,1,1,1.456,0.644927501678467,0.62559998,,1,124,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,1,1,1.105,0.669090926647186,0.63114756,,1,125,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,0.60000002,1,1.254,0.578102231025696,0.56422764,,1,126,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100087,0,1,1,1.001,0.660869598388672,0.69430894,,1,127,0,1,0.25,,,42,2,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,1.101,0.290579706430435,0.33008131,,0,101,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,0.9,0.289130449295044,0.31612903,,0,103,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,0.973,0.211552336812019,0.24000001,,0,104,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,0.929,0.210791349411011,0.24094489,,0,106,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,1.016,0.278700351715088,0.28870967,,0,110,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,0.884,0.228673845529556,0.23968254,,1,112,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,0.881,0.267148017883301,0.2825397,,1,114,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,0.893,0.605818152427673,0.65645164,,1,116,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,1.083,0.419565200805664,0.45365855,,1,118,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,0.937,0.576811611652374,0.57723576,,1,119,0,1,0,,,29,1,1,0,
0,Arechar Pilot,P,Lucid,100155,0,0,0,0.825,0.569175601005554,0.54126984,,1,121,0,1,0,,,29,1,1,0,
